title,brand_name,processor,memory,storage,display,product_price,special_price,emi_price,url
Asus ROG STRIX G15 G513IE 15.6 inch Full HD 144Hz Display Ryzen 7 4800H 8GB RAM 512GB SSD Gaming Laptop with RTX 3050 Ti 4GB Graphics (Eclipse Grey),Asus,"AMD Ryzen 7 4800H Processor 2.9 GHz (8M Cache, up to 4.2 GHz)
","8GB DDR4 3200MHZ SO-DIMM (Extra Ram Slot Available, Memory Max 64GB)","512GB M.2 NVMe PCIe 3.0 SSD (Extra M.2 NVME PCIE SSD Slot Available)
",,144000,Not available,151488,https://www.techlandbd.com/asus-rog-strix-g15-g513ie-ryzen-7-gaming-laptop
Lenovo IdeaPad Slim 3i 14 Inch FHD Display Core i5 12th Gen 8GB RAM 512GB SSD Laptop,Lenovo,"Intel Core i5-1235U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.4GHz, E-core 0.9 / 3.3GHz, 12MB
","8GB DDR4 3200MHz RAM (Expandable upto 16GB)
","512GB M.2 2242 PCIe 4.0x4 NVMe SSD
",,80500,78500,82582,https://www.techlandbd.com/lenovo-ideapad-slim-3i-12th-gen-i5-laptop-bd
LENOVO IDEAPAD FLEX 5 14ALC05 14 INCH FULL HD DISPLAY RYZEN 5 5500U 8GB RAM 512GB SSD 2 IN 1 TOUCH LAPTOP (3 years Warranty),Lenovo,"AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3)
","8GB Soldered DDR4-3200
","512GB SSD M.2 2280 PCIe 3.0x4 NVMe
",,88000,87000,91524,https://www.techlandbd.com/lenovo-ideapad-flex-5-fhd-laptop
Apple Macbook Pro M2 (MNEH3) 13.3 inch Retina display M2 chip 8GB RAM 256GB SSD Laptop (Space Grey),Apple,Apple M2 chip ,"8GB unified memory
",256GB SSD,,162000,Not available,170424,https://www.techlandbd.com/apple-macbook-pro-m2-256gb-ssd-laptop-space-grey
Lenovo IdeaPad Slim 3i 15.6 inch Full HD Display Core i5 11th Gen 8GB RAM 512GB SSD Laptop MX350 2GB Graphics (3 YEARS WARRANTY),Lenovo,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)
","8GB RAM 3200MHz Single Stick ( Extra Ram Slot Available )
","512GB M.2 2242 PCIe 3.0x4 NVMe SSD
",,78500,Not available,82582,https://www.techlandbd.com/lenovo-ideapad-slim-3i-core-i5-8gb-ram-laptop
LENOVO IDEAPAD 3 14ABA7 RYZEN 5 5625U 8GB RAM 256GB SSD 14 INCH FHD LAPTOP,Lenovo,"AMD Ryzen™ 5 5625U (6Core / 12Threads, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)
","8GB DDR4 3200MHz RAM
","256GB PCIe NVMe M.2 SSD
",,67000,65000,68380,https://www.techlandbd.com/lenovo-ideapad-3-14aba7-ryzen-5-laptop
LENOVO IDEAPAD slim 3i 15IIL05 15.6 INCH FULL HD DISPLAY INTEL I3 10TH GEN 4GB RAM 256GB SSD LAPTOP (3 years Warranty),Lenovo,"Intel Core i3-1005G1 (2C / 4T, 1.2 / 3.4GHz, 4MB)
","4GB Soldered DDR4-2666
","256GB SSD M.2 2242 PCIe 3.0x2 NVMe
",,47500,46200,48602,https://www.techlandbd.com/lenovo-ideapad-3-15iil05-laptop
Lenovo IdeaPad 1 15ADA7 15.6 inch FHD Display Ryzen 3 3250U 8GB RAM 512GB SSD Laptop (3 years Warranty),Lenovo,"AMD Ryzen 3 3250U Processor (2 Cores / 4 Threads, 2.60 GHz, up to 3.50 GHz with Max Boost, 1 MB Cache L2 / 4 MB Cache L3)",8GB DDR4 RAM,"512GB SSD M.2 2280 PCIe 3.0x4 NVMe
",,55000,51500,54178,https://www.techlandbd.com/lenovo-ideapad-1-15ada7-laptop
Lenovo IdeaPad 3 14 inch Full HD Display Ryzen 7 5700U 8GB RAM 512GB SSD Laptop (3 years Warranty),Lenovo,"AMD Ryzen 7 5700U (8C / 16T, 1.8 GHz up to 4.3GHz, 4MB L2 / 8MB L3)", 8GB 3200MHZ RAM,512GB NVMe SSD ,,75500,Not available,79426,https://www.techlandbd.com/lenovo-ideapad-3-ryzen-7-5700u-laptop
Lenovo IdeaPad 3 14 inch Full HD Display Ryzen 5 5500U 8GB RAM 512GB SSD Laptop (3 years Warranty),Lenovo,AMD Ryzen 5 5500U (2.1 up to 4.0GHz) Processor, 8GB 3200MHZ RAM ( 2 x 4GB ) (1 x 4GB Non-Removable),512GB NVMe SSD ,,70000,Not available,73640,https://www.techlandbd.com/lenovo-ideapad-3-ryzen-5-5500u-laptop
HP 15S-FQ3234TU 15.6 INCH FHD CELERON N4500 4GB RAM 256GB SSD LAPTOP ,HP,Intel Celeron N4500-1.10 To 2.80 GHz,"4GB DDR4-3200MHz RAM (1 x 4 GB) - Max Capacity 8GB
","256GB PCIe NVMe™ M.2 SSD
",,47500,46000,48392,https://www.techlandbd.com/hp-15s-fq3234tu-laptop
HP PROBOOK 440 G8 14-INCH FHD IPS DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD LAPTOP,HP,"Intel Core i5-1135G7 Processor (8M Cache, 2.40 GHz up to 4.20 GHz)
",8GB DDR4 RAM 3200MHz (Expandable up to 32GB),512GB M.2 NVME SSD,,87000,Not available,91524,https://www.techlandbd.com/hp-probook-440-g8-i5-11th-gen-laptop
HP 15s-fq5886TU 15.6 INCH FHD DISPLAY INTEL CORE I5 12TH GEN 8GB RAM 512GB LAPTOP,HP,"Intel Core i5-1235U Processor (12M Cache, 3.30 GHz, up to 4.40 GHz)
","8 GB DDR4-3200 SDRAM (1 x 8 GB)
","512 GB PCIe NVMe M.2 SSD
",,72000,Not available,75744,https://www.techlandbd.com/hp-15s-fq5886tu-i5-12th-gen-laptop
