title,brand_name,processor,memory,storage,display,product_price,special_price,emi_price,url
ASUS VivoBook S15 S533EA 15.6 inch Full HD IPS Display Core i7 11th Gen 8GB RAM 512GB SSD Laptop -DREAMY WHITE,Asus,"Intel Core i7-1165G7 Processor(12M Cache,2.80 up to 4.70 GHz, with IPU)","8GB 3200MHz DDR4 onboard, Memory Max Up to:16GB",512GB PCIe SSD,"15.6-inch, FHD (1920 x 1080) 16:9, IPS-level Panel, Anti-glare display, LED Backlit, 250nits, NTSC: 45%, Screen-to-body ratio: 86%",Not available,Not available,Not available,https://www.techlandbd.com/asus-vivobook-s15-s533ea-laptop-white
LENOVO IDEAPAD 5 15ALC05 15.6 INCH FULL HD RYZEN 5 5500U 16GB RAM 512GB SSD LAPTOP WITH AMD RADEON GRAPHICS,Lenovo,"AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3)",16GB Soldered DDR4-3200mhz,512GB SSD M.2 2242 PCIe 3.0x4 NVMe,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 45% NTSC",Not available,Not available,Not available,https://www.techlandbd.com/lenovo-ideapad-5-15alc05-laptop
MSI Katana GF66 11UC 15.6 inch Full HD 144Hz Display Core i5 11th Gen 8GB RAM 512GB SSD Gaming Laptop with RTX 3050 4GB Graphics,MSI,"Intel Core i5-11400H Processor (12M Cache, 2.70 GHz up to 4.50 GHz)","8GB DDR4-3200mhz RAM,",512GB NVMe PCIe Gen3x4 SSD,"15.6"" Full HD (1920x1080), 144Hz Refresh Rate, IPS level gaming display",Not available,Not available,Not available,https://www.techlandbd.com/msi-katana-gf66-11uc-core-i5-gaming-laptop
Msi Modern 14 A10m 14 Inch Core i5 10th Gen 8gb Ram 512gb Ssd Backlight Keyboard Laptop,MSI,"Intel Core i5-10210U Processor (6M Cache,1.60 GHz up to 4.10 GHz)",8GB DDR4 (2666MHz) RAM,512GB NVMe PCIe SSD,"14.0"" FHD (1920x1080), IPS-Level",Not available,Not available,Not available,https://www.techlandbd.com/msi-modern-14-a10m-i5-10th-gen-laptop-price-in-bd
HP Pavilion Aero 13-be0345AU 13.3 inch WUXGA Display Ryzen 7 5800U 8GB RAM 512GB SSD Laptop,HP,"AMD Ryzen 7 5800U (up to 4.4 GHz max boost clock, 16 MB L3 cache, 8 cores, 16 threads)",8 GB DDR4-3200 MHz RAM (onboard),512 GB PCIe NVMe M.2 SSD,"33.8 cm (13.3"") diagonal, WUXGA (1920 x 1200), IPS, micro-edge, anti-glare, 400 nits, 100% sRGB",Not available,Not available,Not available,https://www.techlandbd.com/hp-pavilion-aero-13-be0345au-ryzen-7-laptop
Apple Macbook Air M2 13.6 inch Liquid Retina Display M2 chip 8GB RAM 512GB SSD Laptop (Silver),Apple,Not available,8GB unified memory,512GB SSD,Liquid Retina display,Not available,Not available,Not available,https://www.techlandbd.com/apple-macbook-air-m2-512gb-ssd-laptop-silver
HP ENVY X360 15-EY0013 15.6-INCH FULL HD DISPLAY AMD RYZEN 5 8GB RAM 256GB SSD MULTI-TOUCH 2-IN-1 LAPTOP,HP,AMD Ryzen 5 5625U Mobile Processors with AMD Radeon Graphics,256GB PCIe NVMe M.2 SSD,8GB 2400MHz DDR4 RAM,"15.6"" diagonal, FHD (1920 x 1080), OLED, multitouch-enabled, UWVA, Low Blue Light",Not available,Not available,Not available,https://www.techlandbd.com/hp-envy-x360-15-ey0013-laptop
DELL XPS 13 9315 13.4 INCH FHD TOUCH DISPLAY INTEL CORE I7 12TH GEN 16GB RAM 512GB SSD LAPTOP,Dell,Intel Core i7 1250U 4.70GHz Core 10 Thread 12,16GB 5200 MHz LPDDR5,512GB SSD NVMe PCIe,13.4 FHD Touch LED (1920x1080) 500-Nit Display,Not available,Not available,Not available,https://www.techlandbd.com/dell-xps-13-9315-laptop-sky-blue
HP Pavilion 15-ec1104AX 15.6-inch Full HD Display Ryzen 7 4800H 16GB RAM 1TB HDD 256GB SSD Gaming Laptop with GTX 1660Ti 6GB Graphics,HP,"AMD Ryzen 7 4800H (2.9 GHz base clock, up to 4.2 GHz max boost clock, 8 MB L3 cache, 8 cores)",(2x8GB) 16GB DDR4-3200 SDRAM,256 GB PCIe NVMe M.2 SSD 1 TB 7200 rpm SATA HDD,"15.6"" diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 72% NTSC",Not available,Not available,Not available,https://www.techlandbd.com/hp-pavilion-15-ec1104ax-gaming-laptop
DELL XPS 13 PLUS 9320 3.5K OLED TOUCH DISPLAY INTEL I7 12TH GEN 16GB RAM 1TB SSD LAPTOP WITH INTEL IRIS XE GRAPHICS,Dell,Intel Core i7 12700P 4.80GHz Core 12 Thread 16,16GB LPDDR5 5200 MHz,1TB SSD,13.4 3.5K OLED Display QHD (3456x2160) 60 Hz,Not available,Not available,Not available,https://www.techlandbd.com/dell-xps-13-plus-9320-i7-12th-gen-laptop
